,PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
0,9000.0,43.0,Male,Other,Strategy,16.271118760553215,0.0,Medium,6.0,108.0,79.0,25.0,Medium
1,9001.0,29.0,Female,USA,Strategy,5.525961380570566,0.0,Medium,5.0,144.0,11.0,10.0,Medium
2,9002.0,22.0,Female,USA,Sports,8.223755243499511,0.0,Easy,16.0,142.0,35.0,41.0,High
3,9003.0,35.0,Male,USA,Action,5.265351277318268,1.0,Easy,9.0,85.0,57.0,47.0,Medium
4,9004.0,33.0,Male,Europe,Action,15.53194452113429,0.0,Medium,2.0,131.0,95.0,37.0,Medium
5,9005.0,37.0,Male,Europe,RPG,20.561855414112557,0.0,Easy,2.0,81.0,74.0,22.0,Low
6,9006.0,25.0,Male,USA,,9.752716365932256,0.0,Hard,1.0,50.0,13.0,2.0,Low
7,9007.0,25.0,Female,Asia,RPG,4.401729344841462,0.0,Medium,10.0,48.0,27.0,23.0,Medium
8,9008.0,38.0,Female,Europe,Simulation,18.15273259575482,0.0,Easy,5.0,101.0,23.0,41.0,Medium
9,9009.0,38.0,Female,Other,Sports,23.942771725289525,0.0,Easy,13.0,95.0,99.0,36.0,High
10,9010.0,17.0,Male,USA,Strategy,4.829915833543258,0.0,Hard,8.0,95.0,14.0,12.0,High
11,9011.0,36.0,Female,Asia,Simulation,5.53598092541321,1.0,Easy,16.0,124.0,62.0,31.0,High
12,9012.0,16.0,Male,USA,Sports,18.776233805679176,1.0,Easy,9.0,18.0,52.0,32.0,High
13,9013.0,38.0,Female,USA,Strategy,8.701959180591404,,Easy,0.0,156.0,,47.0,Low
14,9014.0,44.0,Male,USA,Simulation,17.975200475946355,0.0,Easy,8.0,41.0,98.0,1.0,Low
15,9015.0,16.0,Male,Europe,RPG,7.951511339057053,0.0,Medium,10.0,156.0,58.0,24.0,High
16,9016.0,35.0,Male,Asia,Strategy,17.88789845694821,0.0,Easy,16.0,154.0,62.0,4.0,High
17,9017.0,47.0,Male,USA,RPG,17.272112901806345,0.0,Medium,2.0,131.0,13.0,9.0,Low
18,9018.0,26.0,Female,Asia,Action,19.416078735805648,0.0,,3.0,135.0,77.0,25.0,Medium
19,9019.0,36.0,Female,,RPG,19.3388255215677,0.0,Easy,4.0,56.0,21.0,30.0,Low
20,9020.0,39.0,Female,USA,Sports,1.7225809816138815,0.0,Easy,2.0,177.0,34.0,37.0,Medium
21,9021.0,41.0,Female,USA,Sports,16.16768979311812,0.0,Easy,18.0,159.0,36.0,33.0,High
22,9022.0,42.0,Male,USA,Sports,10.44812618560384,0.0,Medium,2.0,,81.0,5.0,Low
23,9023.0,30.0,Male,Europe,,17.959834855223,0.0,Easy,14.0,117.0,40.0,19.0,High
24,9024.0,29.0,,Europe,Sports,22.56472310015379,0.0,Medium,12.0,161.0,1.0,22.0,High
25,9025.0,17.0,Female,USA,Sports,10.311459919262395,0.0,Hard,4.0,82.0,1.0,7.0,Medium
26,9026.0,21.0,Male,USA,Strategy,4.898342485762538,0.0,Medium,12.0,118.0,71.0,26.0,High
27,9027.0,35.0,Male,USA,Sports,14.5944246415276,0.0,Easy,18.0,177.0,59.0,18.0,High
28,9028.0,23.0,Male,Europe,Simulation,3.218365077668621,0.0,,14.0,57.0,2.0,1.0,Medium
29,9029.0,32.0,Female,USA,Sports,4.128575768252703,0.0,Easy,1.0,155.0,85.0,37.0,Low
